date,trt,plant,diameter_mm,leaf_count,gs,fruit,g_full,g_spec
4/21/2025,c,1,23,12,v,0,na,na
4/21/2025,c,2,29,28,v,0,na,na
4/21/2025,c,3,na,na,na,0,na,na
4/21/2025,c,4,na,na,na,0,na,na
4/21/2025,c,5,na,na,na,0,na,na
4/21/2025,c,6,36,40,v,0,0.4,0.01
4/21/2025,c,7,na,na,na,0,na,na
4/21/2025,c,8,na,na,na,0,na,na
4/21/2025,c,9,60,56,v,0,0.7,0.03
4/21/2025,c,10,27,24,v,0,0.2,0.019
4/21/2025,c,11,40,54,f,2,0.4,0.028
4/21/2025,c,12,na,na,na,0,na,na
4/21/2025,c,13,41,34,v,0,0.2,na
4/21/2025,c,14,44,34,v,0,0.4,0.036
4/21/2025,c,15,23,12,v,0,na,na
4/21/2025,c,16,22,10,v,0,na,na
4/21/2025,c,17,21,9,v,0,na,na
4/21/2025,c,18,51,54,f,3,na,na
4/21/2025,c,19,na,na,na,0,na,na
4/21/2025,c,20,na,na,na,0,na,na
4/21/2025,c,21,34,18,v,0,0.1,0.038
4/21/2025,c,22,38,34,f,2,0.4,0.02
4/21/2025,c,23,41,38,f,1,0.4,0.018
4/21/2025,c,24,31,14,sad,0,na,na
4/21/2025,c,25,49,34,v,0,0.4,0.029
4/21/2025,c,26,na,na,na,0,na,na
4/21/2025,c,27,43,28,v,0,na,na
4/21/2025,c,28,27,18,v,0,na,na
4/21/2025,c,29,39,40,v,0,na,na
4/21/2025,c,30,39,32,f,1,0.4,0.03
4/21/2025,e,1,na,na,na,0,na,na
4/21/2025,e,2,29,16,f,2,na,na
4/21/2025,e,3,7,8,v,0,na,na
4/21/2025,e,4,28,18,v,0,na,na
4/21/2025,e,5,22,15,v,0,na,na
4/21/2025,e,6,20,20,v,0,na,0.035
4/21/2025,e,7,33,36,v,0,0.4,0.014
4/21/2025,e,8,36,24,v,0,0.2,na
4/21/2025,e,9,31,14,f,1,na,0.032
4/21/2025,e,10,56,38,v,0,0.5,0.026
4/21/2025,e,11,62,60,v,0,0.6,0.023
4/21/2025,e,12,43,27,v,0,0.1,0.016
4/21/2025,e,13,30,24,f,2,0.1,na
4/21/2025,e,14,12,5,v,0,na,0.003
4/21/2025,e,15,36,26,v,0,0.2,0.02
4/21/2025,e,16,35,26,v,0,0.2,na
4/21/2025,e,17,na,na,na,0,na,na
4/21/2025,e,18,43,44,v,0,na,na
4/21/2025,e,19,na,na,na,0,na,0.024
4/21/2025,e,20,39,30,f,3,0.2,na
4/21/2025,e,21,14,8,f,0,na,0.02
4/21/2025,e,22,50,54,f,1,0.9,0.02
4/21/2025,e,23,48,48,v,0,0.7,na
4/21/2025,e,24,32,20,v,0,na,na
4/21/2025,e,25,44,42,v,0,0.3,na
4/21/2025,e,26,na,na,na,0,na,na
4/21/2025,e,27,31,30,v,0,na,na
4/21/2025,e,28,41,18,v,0,na,na
4/21/2025,e,29,31,17,v,0,na,na
4/21/2025,e,30,19,11,v,0,na,na
4/21/2025,hp,1,22,24,f,2,0.4,0.018
4/21/2025,hp,2,49,60,v,0,0.7,0.02
4/21/2025,hp,3,25,19,v,0,0.1,0.15
4/21/2025,hp,4,41,24,f,3,0.1,0.01
4/21/2025,hp,5,na,na,na,0,na,na
4/21/2025,hp,6,na,na,na,0,na,na
4/21/2025,hp,7,14,11,v,0,na,na
4/21/2025,hp,8,22,16,v,0,0.05,0.004
